ID-Produto;Produto;Categoria;Segmento;Fabricante;Loja;Cidade;Estado;Vendedor;ID-Vendedor;Data Venda;ValorVenda
SKU-0000148;Samsung Galaxy 8;Celulares;Corporativo;Samsung;A9990;Belo Horizonte;Minas Gerais;Maria Fernandes;1001;21/07/2013;3999,00
SKU-0000152;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;A9990;Belo Horizonte;Minas Gerais;Fernando Zambrini;1007;25/11/2013;1234,00
SKU-0000154;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;A9990;Belo Horizonte;Minas Gerais;Rodrigo Fagundes;1005;27/11/2013;433,00 
SKU-0000162;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;A9990;Belo Horizonte;Minas Gerais;Artur Moreira;1004;04/07/2014;1235,00
SKU-0000165;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;A9990;Belo Horizonte;Minas Gerais;Mateus Gonçalves;1003;04/11/2014;761,00 
SKU-0000169;Geladeira Duplex;Eletrodomésticos;Doméstico;Brastemp;A9990;Belo Horizonte;Minas Gerais;André Pereira;1002;02/01/2015;1287,00
SKU-0000196;Aspirador;Eletroportáteis;Doméstico;Britânia;A9990;Belo Horizonte;Minas Gerais;Maria Fernandes;1001;01/04/2014;148,00 
SKU-0000213;Fritadeira;Eletroportáteis;Doméstico;Arno;A9990;Belo Horizonte;Minas Gerais;Rodrigo Fagundes;1005;02/09/2015;121,00 
SKU-0000226;Forno-Micro-Ondas;Eletrodomésticos;Doméstico;Consul;A9990;Belo Horizonte;Minas Gerais;André Pereira;1002;01/10/2014;455,00 
SKU-0000232;Micro-Ondas;Eletrodomésticos;Doméstico;Consul;A9990;Belo Horizonte;Minas Gerais;Fernando Zambrini;1007;02/04/2015;455,00 
SKU-0000237;Micro-Ondas;Eletrodomésticos;Doméstico;Consul;A9990;Belo Horizonte;Minas Gerais;Josias Silva;1006;02/09/2015;222,00 
SKU-0000248;Aspirador;Eletroportáteis;Doméstico;Britânia;A9990;Belo Horizonte;Minas Gerais;Ana Teixeira;1009;02/08/2015;121,00 
SKU-0000289;Ventilador;Eletroportáteis;Doméstico;Arno;A9990;Belo Horizonte;Minas Gerais;Ana Teixeira;1009;09/01/2015;123,00 
SKU-0000290;Geladeira Duplex;Eletrodomésticos;Doméstico;Consul;A9990;Belo Horizonte;Minas Gerais;Ana Teixeira;1009;10/01/2015;1299,00
SKU-0000291;Geladeira Duplex;Eletrodomésticos;Doméstico;Consul;A9991;Belo Horizonte;Minas Gerais;Mateus Gonçalves;1003;11/02/2015;761,00 
SKU-0000294;Morotola Moto G5;Celulares;Doméstico;Motorola;A9991;Belo Horizonte;Minas Gerais;Josias Silva;1006;14/03/2015;1230,00
SKU-0000295;Geladeira Duplex;Eletrodomésticos;Doméstico;Consul;A9991;Belo Horizonte;Minas Gerais;Fernando Zambrini;1007;15/04/2015;1212,00
SKU-0000296;Morotola Moto G5;Celulares;Doméstico;Motorola;A9991;Belo Horizonte;Minas Gerais;Artur Moreira;1004;16/04/2015;1230,00
SKU-0000299;Geladeira Duplex;Eletrodomésticos;Doméstico;Consul;A9991;Belo Horizonte;Minas Gerais;Maria Fernandes;1001;19/05/2015;1299,00
SKU-0000300;Geladeira Duplex;Eletrodomésticos;Doméstico;Consul;A9991;Belo Horizonte;Minas Gerais;André Pereira;1002;20/06/2015;1299,00
SKU-0000301;Geladeira Duplex;Eletrodomésticos;Doméstico;Consul;A9991;Belo Horizonte;Minas Gerais;Artur Moreira;1004;21/07/2015;456,00 
SKU-0000305;Morotola Moto G5;Celulares;Doméstico;Motorola;A9991;Belo Horizonte;Minas Gerais;André Pereira;1002;25/11/2015;1230,00
SKU-0000307;Geladeira Duplex;Eletrodomésticos;Doméstico;Consul;A9991;Belo Horizonte;Minas Gerais;Maria Fernandes;1001;27/11/2015;1299,00
